address,name,online_order,book_table,rating,votes,phone,location,rest_type,dish_liked,cuisines,approx_cost,type
"173/218, GF, Opposite Ranka Colony, Bannerghatta Road, Bangalore",D2V Cafe,No,No,3.6,13,"+91 9886986111
+91 8550051111",Bannerghatta Road,Cafe,NA,Cafe,700,Cafes
"6, 3rd Floor, Above Bandhan Bank, Gurupanapalya, Bannerghatta Road, Bangalore",Cafe Talk,No,No,3.3,14,+91 9739174185,Bannerghatta Road,"Cafe, Casual Dining",NA,"Cafe, Continental, North Indian, Bakery, Desserts",700,Cafes
"A-3, Ranka Colony Road, Bilakhalli, Bannerghatta Road",Cafe Choco Craze,No,No,3.7,9,"080 41713666
+91 8970970108",Bannerghatta Road,Cafe,NA,"Cafe, Fast Food, Desserts",400,Cafes
"Vega City Mall, Bannerghatta Road, Bangalore",Me N U,No,No,0.0,0,00 09886636773,Bannerghatta Road,Quick Bites,NA,"Finger Food, Wraps, Cafe, Continental, Healthy Food",500,Cafes
"5th Cross Road, Dollar Layout, 3rd Phase, JP Nagar, Bangalore",Slate Cafe,Yes,No,4.1,46,+91 8040923832,JP Nagar,Cafe,"Pasta, Sandwiches","Cafe, Sandwich, Burger",600,Cafes
"57, 15th Cross Road, Outer Ring Road, Phase 6, JP Nagar, Bangalore",Dialogues,No,No,4.0,129,+91 8800946279,JP Nagar,Cafe,"Mayo Sandwich, Pasta, Egg Sandwich, Coffee, Potato Wedges, Vegetable Noodles, Fries","Cafe, Continental",600,Cafes
"97, Wilson Garden Housing Society, 7th Phase, JP Nagar, Bangalore",Cafe Zuppa,Yes,No,0.0,0,"+91 9845266234
+91 9980003501",JP Nagar,Cafe,NA,"Cafe, Pizza, Fast Food",450,Cafes
"44-45, Terrace Floor, 24th Main Road, 7th phase, JP Nagar, Bangalore",Mudpipe Cafe,Yes,Yes,3.9,727,+91 9448056565,JP Nagar,Cafe,"Coffee, Pizza, Nachos, Kit Kat Shake, Garlic Bread, Mexican Rice, Burgers","Cafe, Continental, North Indian",800,Cafes
"8, 15th Main, 5th Phase, JP Nagar, Bangalore",TAB - Take A Break,No,No,4.1,521,"+91 9535133088
+91 9448157110",JP Nagar,Cafe,"Pizza, Salads, Pasta, Sandwiches, Veg Quiche, Coffee, Tea","Cafe, Continental, Italian",550,Cafes
"114, Kothanur Main Road, Santrupthi Nagar, 7th Phase, JP Nagar, Bangalore",Biggies Burger 'n' More,Yes,No,4.1,203,"+91 9740962288
080 41145111",JP Nagar,"Quick Bites, Cafe","Burgers, Mojito, Lamb Burger, French Fries, Hot Dog, Bbq Burger, Wedges","Cafe, Burger, Beverages",650,Cafes
"Site 15, 15th Cross, 100 Feet Road, 4th Phase, JP Nagar, Bangalore",Onesta,Yes,Yes,4.4,4381,"+91 8904001150
+91 8904001151",JP Nagar,"Casual Dining, Cafe","Chicken Alfredo Pizza, Coffee Mousse, Chicken Calzone, Banana Smoothie, Butter Chicken Pizza, Chocolate Pizza, Chicken Tikka Pizza","Pizza, Cafe, Italian",600,NA
"204, 4th Cross, KSRTC Layout, 2nd Phase, JP Nagar, Bangalore",Cafe Potpourri,Yes,No,3.7,131,"+91 8884553680
+91 7026274274",JP Nagar,Cafe,"Poha, Coffee, Pav Bhaji, Masala Chai, Sattu Paratha, Sandwich","Cafe, Sandwich, North Indian, Beverages, Desserts",400,Cafes
"18, K.R Layout, Dollar Colony, 4th Phase, JP Nagar",De Oxford Cafe,No,No,3.7,34,080 48530740,JP Nagar,Cafe,NA,"Cafe, Beverages, Fast Food",500,Cafes
"Someshwara Bhavan, RBI Layout, 7th Phase, Kothnur Main Road, JP Nagar, Bangalore",Vinaya Coffee Moments,Yes,No,3.7,46,"+91 9538699211
080 49566825",JP Nagar,Cafe,"Filter Coffee, Pizza, Pasta","Burger, Cafe, Desserts, Sandwich, Italian",450,Cafes
"10/3, Shamanna Garden, 22nd Main Rd, Phase 5, JP Nagar, Bangalore",Brew Point,Yes,No,3.6,10,+91 9741010084,JP Nagar,Cafe,NA,"Cafe, American, Burger, Sandwich, Fast Food",500,Cafes
"296, Ground Floor, 5th Phase, 100 ft Outer Ring Road, JP Nagar, Bangalore",The Cravery,Yes,No,2.6,18,+91 8042008011,JP Nagar,Cafe,NA,"Continental, Burger, Beverages, Cafe, Italian, Rolls",500,Cafes
"46/A, 1st Main, 3rd Phase, JP Nagar, Bangalore",Cuppa,No,No,3.4,48,080 40939471,JP Nagar,Cafe,"Coffee, Potato Wedges, Tea","Cafe, Fast Food",550,Cafes
"Brigade Millenium Inside Indian Music Experience Museum, JP Nagar, Bangalore, Bengaluru",Anju's Cafe,No,No,3.4,6,+91 9845036605,JP Nagar,Cafe,NA,"Cafe, North Indian",600,Cafes
"724, 3rd Floor, RBI Layout, Rini Pearl, Opposite E.K. Retail, 7th Phase, JP Nagar, Bangalore",Skytouch Le Cafe,Yes,No,3.7,127,"080 40932483
+91 9740848803",JP Nagar,Cafe,"Pizza, Pasta, Bubble Tea, Brownie, Pancakes, Cheesy Garlic Bread, Chocolate Waffles","Cafe, Italian, Desserts",700,Cafes
"305, Anand NR Onyx, 15th Cross, 100 Feet Ring Road, 5th Phase Extension, JP Nagar, Bangalore",Woodee Pizza,Yes,No,2.7,85,+91 7406827272,JP Nagar,Cafe,"Pizza, Lemonade, Chilli Cheese Fries, Thick Shakes","Cafe, Pizza, Fast Food, Beverages",500,Cafes
"18, 3rd Floor, 2nd Cross, NS Palya, Industrial Layout, BTM, Bangalore",Hearts Unlock Cafe,No,No,3.2,11,"+91 9008143437
+91 7259710298",BTM,Cafe,NA,"Cafe, Healthy Food",500,Cafes
"96, 29th Main, 23rd Cross, 2nd Stage, BTM, Bangalore",eat.fit,Yes,No,4.5,1178,NA,BTM,Delivery,"Healthy Breakfast, Salads, Date Pudding, Chicken Curry, Hakka Noodles, Fruit Bowl, Dal Makhani","Healthy Food, North Indian, Biryani, Continental, Sandwich, Desserts",500,Delivery
"808, 1st Floor, Above Eye World Optical, 7th Cross, 2nd Stage, BTM, Bangalore",Sai Abhiruchi,Yes,No,3.7,335,080 49653037,BTM,Casual Dining,"Dum Biryani, Dal Fry, Paneer Biryani","Andhra, North Indian, Biryani",800,Delivery
"774, 3rd Floor, 16th Main, 7th Cross, 2nd Stage, BTM, Bangalore",Capsicum Family Restaurant,Yes,No,3.8,254,080 49652641,BTM,Casual Dining,Mutton Biryani,"Biryani, North Indian",800,Delivery
"67, Doresani Palya Main Road, Bilekahalli Dakahale, Bannerghatta Road, Bangalore",Box Magic,Yes,No,3.6,21,"+91 8043723392
+91 8884058995",Bannerghatta Road,Quick Bites,NA,"North Indian, South Indian, Seafood, Rolls",400,Delivery
"104/1, 21st Main Road, 6th Cross Road, R K Colony, JP Nagar 2nd Phase, Bangalore",Maa'r Rannaghor,Yes,No,3.8,20,080 49652560,JP Nagar,Quick Bites,NA,"Bengali, Chinese",400,Delivery
"1260 SY 35/4 SJR Tower's, 24th Main Puttanhalli, 7th Phase, JP Nagar Bangalore",Easy Bites,Yes,No,4.1,63,080 43334321,JP Nagar,"Takeaway, Delivery","Sandwich, Crispy Chicken, French Fries","Fast Food, Sandwich",300,Delivery
"57/1, Near Alliance University, 19th Cross, 7th Main, 2nd Stage, BTM, Bangalore",Hiyar Majhe Kolkata,Yes,No,4.0,244,"+91 9108919806
+91 9739059571",BTM,Quick Bites,"Radhaballavi, Biryani, Egg Noodles, Egg Roll, Fish Curry, Egg Devils, Thali","Bengali, North Indian",400,Delivery
"1260 SY 35/4 SJR Tower's, 24th Main Puttanhalli, JP Nagar 7th Phase, Bangalore",Dabba Gosht,Yes,No,3.4,9,080 43334321,JP Nagar,"Takeaway, Delivery",NA,"Arabian, Middle Eastern",400,Delivery
"1260, SY 35/4, SJR Towers, 24th Main Puttanhalli, 7th Phase, JP Nagar, Bangalore",Empire Restaurant,Yes,No,3.6,113,080 43334321,JP Nagar,"Takeaway, Delivery",NA,"Kerala, Seafood, South Indian, Chinese, North Indian, Charcoal Chicken, Beverages",400,Delivery
"1260 SY 35/4 SJR Tower's, JP Nagar 7th Phase, 24th Main Puttanhalli, JP Nagar, Bangalore",Punjabites,Yes,No,3.7,5,080 43334321,JP Nagar,"Takeaway, Delivery",NA,"North Indian, Charcoal Chicken",400,Delivery
"23, 7th Cross, 2nd Main, NS Palya Main Road, 2nd Stage, BTM, Bangalore",Sri Lakshmi Dhaba,Yes,No,2.9,255,"+91 8970548240
+91 9739369901",BTM,Quick Bites,"Paratha, Shahi Paneer",North Indian,250,Delivery
"948, 16th Main, MICO Layout, 2nd Stage, BTM, Bangalore",XO Belgian Waffle,Yes,No,4.5,549,080 45128804,BTM,Dessert Parlor,"Blueberry Waffles, Nutella Waffle, Hot Chocolate, Thick Shakes, Coffee, Oreo Shake, Chocolate Oreo","Desserts, Beverages",400,Delivery
"947, 16th Main Road, 2nd Stage, BTM, Bangalore",Swadista Aahar,Yes,No,4.1,775,"+91 9844006825
+91 9844615361",BTM,Quick Bites,"Panneer Butter Masala, Idli, Masala Dosa, Vada, Coffee, Roti, Thali","South Indian, North Indian, Chinese, Street Food",300,Delivery
"1, 100 Feet Ring Road, 1st Phase, 2nd Stage, BTM, Bangalore",Vegetarea,Yes,No,3.9,38,080 43334333,BTM,"Takeaway, Delivery",NA,South Indian,250,Delivery
"5th A Cross, Lakshmi Complex, Manjunatha Colony, Near RV Dental College, 2nd phase, JP Nagar, Bangalore",Aniram's,Yes,No,4.1,739,"+91 8867760111
+91 8867760222",JP Nagar,Delivery,"Chilli Chicken, Butter Chicken, Kadhai Paneer, Hyderabadi Chicken Biryani, Jeera Rice, Ghee Rice, Chicken Masala","Chinese, North Indian",500,Delivery
"Shop 9, 1st Floor, SBI Building, New DLF New Town, Opposite Ample Mart, Bannerghatta Road, Bangalore",Punjabi Nawabi,Yes,No,3.8,310,"+91 9916713131
+91 9916813131",Bannerghatta Road,Quick Bites,"Dal Makhani, Lassi, Butter Chicken, Panneer Butter Masala, Mix Veg, Saag, Butter Naan",North Indian,400,Delivery
"7/3, 19th Cross, 7th Main Rd, Pushpa Layout, NS Palya, BTM 2nd Stage, BTM, Bangalore",YummRajj,Yes,No,3.3,42,"+91 9380423200
+91 9844364167",BTM,Quick Bites,NA,Fast Food,500,Delivery
"324, 23rd Main, 3rd Cross, 2nd Stage, BTM, Bangalore",Swad Punjab Da,Yes,No,4.0,126,+91 8360151853,BTM,Quick Bites,"Lassi, Roti, Veg Thali, Aloo Paratha, Egg Curry",North Indian,150,NA
"Shbari Complex, Arakere Mico Layout, Govinda Reddy Layout, Off B G Road, Bannerghatta Road, Bangalore",BOX8- Desi Meals,Yes,No,4.1,427,080 33552698,Bannerghatta Road,"Takeaway, Delivery","Paratha, Salads, Dal Makhani, Salad, Masala Lemonade, Paneer Biryani, Sandwiches","North Indian, Mughlai, Fast Food",500,Delivery
"688, 7th Main, 10th Cross Main Road, 2nd Stage, BTM, Bangalore",Roti Wala,Yes,No,4.0,197,+91 9731100002,BTM,Quick Bites,"Gulab Jamun, Buttermilk, Egg Bhurji, Sprout Salad, Roti",North Indian,300,Delivery
"43, Arasu Nilaya 1st Floor, Opp To Patel Medical, 7th Main Road, 2nd Stage, BTM, Bangalore",Midnight Mania,Yes,No,4.1,601,+91 9066022868,BTM,Quick Bites,"Peri Peri Chicken, Chicken Pizza, White Pasta, Kit Kat Shake","Pizza, Italian, Beverages",700,Delivery
"#35/4, 24th main JP Nagar 7th phase, Puttenahalli, JP Nagar, Bangalore",Kitchens@JP Nagar,Yes,No,3.9,488,080 43334321,JP Nagar,"Takeaway, Delivery",Vegetable Biryani,"Biryani, Kerala, Mughlai, Street Food, North Indian, Chinese, South Indian, Andhra",400,Delivery
"19/3C, Avanishringeri Nagar, Nyanappanahalli Village, Bannerghatta Road, Bangalore",Krishna Kuteera,Yes,No,4.0,396,+91 9035011234,Bannerghatta Road,Quick Bites,"Pav Bhaji, Coffee, Set Dosa, Vada, Masala Poori","South Indian, North Indian, Chinese",400,Delivery
"26-27, MICO Layout, 6th Main, 2nd Stage, BTM, Bangalore",Apna Punjab,Yes,No,3.6,474,+91 7411793215,BTM,Quick Bites,"Thali, Egg Masala, Chole, Paratha, Roti, Butter Chicken, Paneer Manchurian","North Indian, Chinese, Fast Food",450,Delivery
"56, 7th Main, Yellappa Layout, 2nd Stage, BTM, Bangalore",Paratha Junction,Yes,No,2.9,172,+91 9535673059,BTM,Quick Bites,"Paratha, Kadai Paneer","North Indian, Chinese",300,Delivery
"Near Fortis Hospital, Opposite IBM, Bannerghatta Road, Bangalore",Nellore Bhojanam,Yes,No,3.1,175,+91 7760358195,Bannerghatta Road,Quick Bites,Biryani,Andhra,250,Delivery
"806, Near ICICI Bank, 7th Cross, 16th Main, 2nd Stage, BTM, Bangalore",Momoz,Yes,No,4.0,939,"+91 9986304455
080 41677117",BTM,Casual Dining,"Momos, Noodles, Thukpa, Crispy Honey Chicken, Manchow Soup, Manchurian, Chicken Momo","Chinese, Momos",600,Delivery
"399, 16th Main, N.S Palya, BTM, Bangalore",Kalingas,Yes,No,3.9,173,080 42038180,BTM,Quick Bites,"Rasgulla, Mutton Kosha, Chicken Kasha, Samosa Chaat, Kheer, Veg Thali","Oriya, Fast Food",250,Delivery
"22, Nyanapanahalli Main Road, Opposite Dominos Road, Before New DLF Township Circle, Bannerghatta Road, Bangalore",Kanteen The Eatery,Yes,No,3.9,77,080 43749430,Bannerghatta Road,Quick Bites,"Chole Bhature, Pav Bhaji, Misal Pav",North Indian,400,Delivery
"G-3,1210,16th Main Road, Opposite IS Colony Park, 2nd Stage, BTM, Bangalore",Kullad Cafe,Yes,No,3.9,326,"+91 8861570148
+91 9972089231",BTM,Cafe,"Poha, Coffee, Chai, Rolls, Ginger Tea, Aloo Paratha, Elaichi Tea","North Indian, Cafe, Fast Food, Beverages",200,Delivery
"99/2A, Kothnoor Main Road, Opposite RBI Layout Bus Stop, 7th Phase, JP Nagar, Bangalore",Donne Biriyani House,Yes,No,3.3,212,"080 41614200
+91 9886944200",JP Nagar,Quick Bites,"Biryani, Kshatriya Kebab","Biryani, Andhra",350,Delivery
"No 43, 7th Main Road, NS Palaya, BTM 2nd Stage, BTM, Bangalore",Litti Twist,Yes,No,4.1,464,+91 8884270523,BTM,Quick Bites,"Litti, Liti Chokha, Lassi, Tea, Paratha, Thali, Chai","North Indian, Bihari",300,Delivery
"23/24, Ground Floor, 2nd Cross, Arekere Main Road, Bannerghatta Road, Bangalore",FreshMenu,Yes,No,3.3,628,+91 9019245000,Bannerghatta Road,Delivery,"Rolls, Salads, Salad, Sandwiches, Pasta, Burgers, Croissants","Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",450,Delivery
"77/1, 24th Main, 2nd Phase, JP Nagar, Bangalore",Shanthi Sagar,Yes,No,3.6,518,+91 8217521220,JP Nagar,Casual Dining,"Coffee, Mushroom Masala, Masala Dosa, Palak Paneer","South Indian, North Indian, Chinese",400,Delivery
"1 B, Krishnamurthy Complex, Kodichikkanahalli Road, Bannerghatta Road, Bangalore",Cakebuy,Yes,No,3.9,70,+91 8496934114,Bannerghatta Road,Dessert Parlor,Chocolate Truffle,Desserts,350,Delivery
"18th Cross road, 5th Phase, JP Nagar, Bangalore",Five Star Chicken,Yes,No,3.9,62,+91 8884121777,JP Nagar,Quick Bites,Fries,"Burger, Fast Food, Roast Chicken, Finger Food",300,Delivery
"24, 6th-A Cross, 16th Main, BTM 2nd Stage, BTM, Bangalore",Poha House,Yes,No,0.0,0,+91 8748866888,BTM,Quick Bites,NA,Maharashtrian,200,Delivery
"19th Cross, 7th Main, Near Alliance University, NS Palya, 2nd Stage, BTM, Bangalore",Bathinda Tandoor,Yes,No,0.0,0,"+91 7899987436
+91 7708528198",BTM,Quick Bites,NA,North Indian,300,Delivery
"1225, 26th Main, 9th Block, Jayanagar, Bangalore",Corner House Ice Cream,Yes,No,4.4,819,080 26540925,Jayanagar,Dessert Parlor,"Hot Chocolate Fudge, Chocolate Malt, Thick Shakes, Chocolate Nut Sundae, Ice Cream Sundae, Fudge Cake, Coffee","Ice Cream, Desserts",400,Delivery
"10, Near Jayadeva Signal, Oppoite SBI ATM, 100 Feet Ring Road, 2nd Stage, BTM, Bangalore",Delight Food,Yes,No,2.6,171,"+91 9739748123
+91 9538676894",BTM,Casual Dining,NA,"Andhra, Chinese, Biryani",450,Delivery
"EK Retail Building, Beside Vijaya Bank, Vijaya Bank Layout, Bannerghatta Road, Bangalore",Andhra Kitchen,Yes,No,3.9,158,+91 8197977737,Bannerghatta Road,"Takeaway, Delivery",NA,"Andhra, Biryani",400,Delivery
"1260, SY 35/4, SJR Tower's, 7th Phase, 24th Main Puttanhalli, JP Nagar, Bangalore",Veg By Nature,Yes,No,3.4,14,080 43334321,JP Nagar,"Takeaway, Delivery",NA,North Indian,200,Delivery
"1,16th Main Road,19th Cross, EWS Colony, 2nd Stage, BTM, Bangalore",Chicken Magic,Yes,No,3.7,207,+91 8095577245,BTM,Quick Bites,NA,"Chinese, North Indian",300,Delivery
"69/1, Gowreesha Complex, Opposite Ananda Valmart Apartment, Doddakammanahalli, Bannerghatta Road, Bangalore",Behrouz Biryani,Yes,No,4.0,138,091 7700050050,Bannerghatta Road,Delivery,"Gulab Jamun, Vegetable Biryani, Mint Raita",Biryani,650,Delivery
"No.16/30, Ground Floor, NS Palya, Bannerghatta Main Road, BTM layout, Bangalore",Fresh Kitchen,Yes,No,3.4,13,080 49652503,Bannerghatta Road,Casual Dining,NA,"North Indian, Chinese",600,Delivery
"Royal Meenakshi Mall, Hulimavu, Bannerghatta Road, Bangalore",Hind Ka Chulah,Yes,No,3.8,181,"+91 9738933467
+91 8970646882",Bannerghatta Road,Food Court,"Butter Chicken, Chole, Chicken Tikka, Biryani Combo, Roti, Tandoori Chicken, Naan","North Indian, Biryani",600,Delivery
"25/26,1st Cross, Beside IIMB, Bilekahalli, Bannerghatta Road, Bangalore",Kuttanad,Yes,No,3.6,140,+91 9108289221,Bannerghatta Road,Quick Bites,NA,"Kerala, South Indian",200,Delivery
"11, 19 Cross, 13th A Main, NS Palya, 2nd Stage, BTM, Bangalore",New Mahesh Friends Food Corner,Yes,No,3.2,44,"+91 9902419754
+91 9972913805",BTM,Quick Bites,NA,"North Indian, Chinese",300,Delivery
"Shop 1, 129, 24th Main, 5th Phase, JP Nagar, Bangalore",Bohra Bohra Caf,Yes,No,3.6,43,"+91 9880101051
+91 9742661909",JP Nagar,Quick Bites,"Fruit Custard, Russian Cutlet",Bohri,300,Delivery
"311, 15th Cross, 5th Phase, JP Nagar, Bangalore",Pizza Hut,Yes,No,2.7,159,080 39883988,JP Nagar,Quick Bites,Prompt Service,Pizza,750,Delivery
"Hulimavu Gate, BG Road, Behind ICICI Bank, Near Meenakshi Mall, Bannerghatta Road, Bangalore",Shree Krishna Sannidhi,Yes,No,3.4,76,+91 9845629073,Bannerghatta Road,Quick Bites,NA,"North Indian, Chinese",450,Delivery
"Big Bazzar Building, JP Nagar, Bangalore",BingeJoy!,Yes,No,3.6,16,+91 8197596869,JP Nagar,Kiosk,NA,"Biryani, Chinese, Fast Food",100,Delivery
"315/B1, Near Police Station, B.G. Road, Muthurayya Swamy Layout, Hulimavu, Bannerghatta Road, Bengaluru",Shiv Sai Hotel,Yes,No,3.5,74,+91 9916694695,Bannerghatta Road,Quick Bites,NA,North Indian,400,Delivery
"1260, SY 35/4, SJR Tower's, 7th Phase, 24th Main, Puttanhalli, JP Nagar, Bangalore",Beijing Bites,Yes,No,3.7,9,080 43334321,JP Nagar,"Takeaway, Delivery",NA,"Chinese, Thai, Momos",400,Delivery
"7/7, 1st Main Road, DC Main Road, Bilekahalli, Bannerghatta Road, Bangalore",Burj Hotel,Yes,No,3.5,53,"+91 9986187737
+91 9606168156",Bannerghatta Road,Quick Bites,NA,"North Indian, Chinese",350,Delivery
"Shop 1, 100 Feet Ring Road, 1st Phase, Stage 2, BTM, Bangalore",Shaadi Ki Biryani,Yes,No,3.1,28,080 43334333,BTM,"Takeaway, Delivery",NA,"Biryani, North Indian, Mughlai",400,Delivery
"Radha Krishna Towers, Opposite IIM-B Main Gate, Bannerghatta Road, Bangalore",Subway,Yes,No,3.2,166,"080 41252625
+91 9972004499",Bannerghatta Road,Quick Bites,Salad,"Salad, Fast Food",600,Delivery
"2/1, Bannerghatta Main Road, Bannerghatta Road, Bangalore",Madeena Hotel,Yes,No,3.9,50,"+91 9900918687
+91 7022856696",Bannerghatta Road,Quick Bites,NA,"North Indian, Mughlai, Biryani",400,Delivery
"452, 2nd Main, 8th Cross, Lakshmi Layout, Mico Layout, Arakere, Bannerghatta Road, Bangalore",Biryani Durbar,Yes,No,3.7,128,080 49652102,Bannerghatta Road,"Takeaway, Delivery","Chicken Biryani, Chicken Kebab","Biryani, North Indian",400,Delivery
"161, 161 A, 166, First Floor, Vinayaka Nagar, BG Arkere Road, Near Bannerghatta Road, Bangalore",The Good Bowl,Yes,No,3.6,8,+91 8884470690,Bannerghatta Road,"Takeaway, Delivery",NA,"Italian, North Indian, Biryani",500,Delivery
"14/6, 9th Main Road, Opposite Water Tank, 100 Feet Road, 2nd Stage, BTM, Bangalore",Mahesh Friends Food Center,Yes,No,2.9,126,+91 9731081364,BTM,Quick Bites,Lassi,"Chinese, North Indian",300,NA
"1548, East End Circle, 9th Block, Jayanagar, Bangalore",Kabab Magic,Yes,No,4.0,952,080 26490895,Jayanagar,Quick Bites,"Chicken Grill, Biryani, Shawarma Roll, Rolls, Chicken Kebab, Chicken Shwarma Roll, Pulpy Grape Juice","North Indian, Kebab, Chinese, Fast Food",400,Delivery
"25/4, Yelchenahalli Metro Station, Kanakapura Road, Bangalore",Nammura Donne Biriyani,Yes,No,3.4,51,"+91 9620124449
+91 8042046888",Kanakapura Road,Quick Bites,NA,"Biryani, Fast Food",400,Delivery
"Royal Meenakshi Mall, Third Floor, Unit T001B & T007, Opposite Meenakshi Temple, Hulimavu, Bannerghatta Road, Bangalore",Burger King,Yes,No,3.8,472,080 33558000,Bannerghatta Road,Quick Bites,"Burgers, Whopper Meal, Crispy Chicken, French Fries, Grilled Wings","Burger, Fast Food, Beverages",600,Delivery
"7, 2nd Floor, Krish Towers, Arekere Signal, Bannerghatta Road, Bangalore",Dadi's Dum Biryani,Yes,Yes,4.0,739,"+91 7090377777
080 43716050",Bannerghatta Road,Casual Dining,"Chicken Biryani, Basmati Rice, Prawn, Tandoori Chicken, Vegetable Biryani, Galauti Kebab, Faluda","Biryani, North Indian, Mughlai",800,NA
"Near Aikya Apartment, Chikkammanahalli Road, SOS Post, Bannerghatta Road, Bangalore",Krishna Kuteera South,Yes,No,4.0,117,"+91 8026430260
+91 9902495622",Bannerghatta Road,Casual Dining,NA,"South Indian, North Indian, Chinese",500,Delivery
"935, Sri Arcade, 1st Floor, 16th Main Road, Near Udupi Garden Signal, BTM, Bangalore",Alankrutha,Yes,No,3.9,255,080 71967536,BTM,Casual Dining,"Chicken Biryani, Hyderabadi Biryani, Dum Biryani","Andhra, Biryani, North Indian, Chinese",500,Delivery
"915, 24th Main Road, 2nd Phase, Mayura Circle, JP Nagar, Bangalore",Paradise,Yes,No,4.0,1974,"+91 9513477574
+91 9901842605",JP Nagar,Casual Dining,"Kalmi Kabab, Hyderabadi Dum Biryani, Vegetable Biryani, Haleem, Supreme Mutton Biryani, Paneer Tikka, Hyderabadi Mutton Biryani","Biryani, North Indian, Kebab",800,NA
"44, 3rd Cross, Marenahalli, 2nd Phase, JP Nagar, Bangalore",Kabab Mehal,Yes,No,3.7,65,"+91 9108615502
+91 9108615503",JP Nagar,Quick Bites,NA,"Kebab, North Indian, Fast Food, Beverages",400,Delivery
"77/2 BDA Road, Opposite RR Layout, BTM 6th Stage, BTM, Bangalore",Mughlai Kitchen,Yes,No,3.5,269,"+91 9663197947
+91 9986692090",BTM,NA,"Momos, Oreo Shake","Mughlai, North Indian, Chinese, Momos",600,Delivery
"1319, 100 Feet Road, 2nd Phase, JP Nagar, Bangalore",Andhra Ruchulu,Yes,Yes,4.2,1428,"+91 8970409660
+91 9900262033",JP Nagar,Casual Dining,"Paneer Tikka, Bhuna Gosht, Andhra Meal, Chicken Biryani, Chicken Guntur, Chicken Sholey Kebab, Andhra Biryani","Andhra, North Indian",800,Delivery
"2/20, 100 Feet Ring Road, BTM 1st Stage, BTM, Bangalore",Sri Punjabi Dhaba,Yes,No,3.3,39,+91 9632537148,BTM,Dhaba,NA,North Indian,400,Delivery
"21, 1st Cross, Lakshmi Layout, Oppsite DEJA Apartment, Mico Layout, Arekere, Bannerghatta Road, Bangalore",Arabian Mexico,Yes,No,3.4,43,080 45128698,Bannerghatta Road,Quick Bites,NA,"Fast Food, Arabian",400,Delivery
"9, Near Jayadeva Signal, Oppoite SBI ATM, 100 Feet Ring Road, 2nd Stage, BTM, Bangalore",Indian Food,Yes,No,2.9,345,080 49652766,BTM,"Takeaway, Delivery",NA,"North Indian, Biryani, Chinese, Momos",450,Delivery
"No.808, 7th Cross, BTM 2nd Stage, BTM Layout, BTM, Bangalore",Tandoori Paradise,Yes,No,3.5,8,080 49653474,BTM,Delivery,NA,"North Indian, Chinese",600,Delivery
"144/1, 22, 22nd Cross, 24th Main Road Marenahalli, JP Nagar, Bangalore",Kolkata Kathi Rolls,Yes,No,3.8,23,"+91 9886034310
080 26585302",JP Nagar,Quick Bites,NA,Rolls,150,Delivery
"37, Diagonally Opposite Ranga Shankara, 2nd Phase, JP Nagar, Bangalore",Adithya,Yes,No,4.0,332,080 49652760,JP Nagar,Quick Bites,"Neer Dosa, Coffee, Pav Bhaji, Khali Dosa, Panipuri, Masala Dosa, Tea","South Indian, North Indian, Chinese",300,Delivery
"16, 17, 18/2 Sarakki Lake, 24th Main, 6th Phase, JP Nagar, Bangalore",Cheesiano Pizza,Yes,Yes,4.0,199,"+91 8043761455
+91 7678077768",JP Nagar,Quick Bites,"Pasta, Fries, Cheesiano Pizza, Veggie Pizza, Cheesy Garlic Bread, Peri Peri Paneer Pizza","Pizza, Italian",700,Delivery
"01, 100 Feet Ring Road, 1st Phase, 2nd Stage, BTM, Bangalore",Polar Bear,Yes,No,3.9,20,080 43334333,BTM,"Takeaway, Delivery",NA,"Desserts, Ice Cream",300,Delivery
"15, Bannerghatta Main Road, JP Nagar, Bangalore",Le Arabia,Yes,No,0.0,0,+91 8041410082,JP Nagar,Casual Dining,Chicken Biryani,"North Indian, Mughlai",600,Delivery
"3, 24th Main Road, Opposite Bindhya Residency, 5th Phase, JP Nagar, Bangalore",Nati Palace,Yes,No,3.5,11,+91 8618007711,JP Nagar,Quick Bites,NA,"South Indian, North Indian",200,Delivery
"948, 24th Main Road, 2nd Phase, JP Nagar, Bangalore",KFC,Yes,No,3.9,437,080 33994444,JP Nagar,Quick Bites,"Burgers, Wings, Fries, Rice Bowl, Popcorn Chicken, Zinger Burger, Chicken Snacker","Burger, Fast Food",400,Delivery
"5, 17th Main, 5th Cross, Behind Vijaya Enclave, Kodichickenahalli Road, Vijaya Bank Layout, Billekahalli, Bannerghatta Road, Bangalore",Dande's Hyderabad Biryani,Yes,No,3.8,207,080 41454647,Bannerghatta Road,Casual Dining,"Chicken Boneless Biryani, Lemon Chicken, Dum Biryani","Biryani, Andhra, North Indian",700,Delivery
"1, Gottigere Main Road, Bannerghatta Road, Bangalore",Upahara Bhavan,Yes,No,3.8,55,"+91 8746969469
080 40972565",Bannerghatta Road,Quick Bites,"Masala Dosa, Idli, Coffee, Vada, Set Dosa","South Indian, North Indian, Chinese",300,Delivery
"934, 16th Main Road, Kuvempu Nagar, BTM 2nd Stage, BTM, Bengalore",Sher-E-Punjab,Yes,No,3.2,19,080 49652946,BTM,Quick Bites,NA,"North Indian, Chinese",400,Delivery
