,address,name,online_order,book_table,rating,votes,phone,location,rest_type,dish_liked,cuisines,approx_cost,type
6080,"16, Millers Road, Vasanth Nagar, Bangalore",Akshaya Sambrama Veg Restaurant,Yes,No,3.2/5,13,"+91 9964000085
080 48519641",Vasanth Nagar,Quick Bites,NA,"South Indian, Chinese",200,Delivery
6081,"30, Magrath Road, Brigade Road, Bangalore",Nawab's Kolkatta Roll,Yes,No,3.4/5,4,"+91 9740088890
+91 9686631631",Brigade Road,Kiosk,NA,"Street Food, Rolls",150,Delivery
6083,"6, HKP Road, Broadway Road, Shivajinagar, Bangalore",Royal Restaurant,No,No,3.2/5,7,+91 7829815068,Shivajinagar,Quick Bites,NA,"North Indian, Chinese",200,Delivery
6085,"1/1,Markham Raod, Behind Garuda Mall,Ashoknagar, Brigade Road, Bangalore",Shan Restaurant,Yes,No,3.0/5,20,"080 25309986
+91 9164567293",Brigade Road,Casual Dining,NA,"Kerala, Chinese, South Indian, North Indian",400,Delivery
6086,"5, Near Reserve Bank Of India, Nrupathunga Road, Ambedkar Veedhi, City Market, Bangalore",Hotel Nisarga Grand,Yes,No,3.6/5,32,080 22299966,City Market,Casual Dining,NA,"South Indian, North Indian, Chinese",500,Delivery
6088,"32, Castle Street, Ashoknagar, Brigade Road, Bangalore",Baahubelly,Yes,No,3.8/5,69,"+91 8043709850
+91 8892203381",Brigade Road,Casual Dining,"Biryani, Tea, Rice, Appam","South Indian, North Indian",500,NA
6090,"Ashok Nagar, Brigade Road",Kerala Kitchen,Yes,No,3.2/5,31,+91 8892848482,Brigade Road,Quick Bites,NA,"Kerala, South Indian",200,Delivery
6091,"Plot 124, Near Vellara Junction, Opposite Brigade Towers, Brigade Road, Bangalore",Hatti Punjab Di,Yes,No,2.8/5,20,+91 8884447584,Brigade Road,Casual Dining,NA,"North Indian, Chinese",550,Delivery
6095,"27, St Johns Church Road, Frazer Town, Bangalore",Cool Corner Arun Ice Cream,Yes,No,3.5/5,8,+91 9830199012,Frazer Town,Dessert Parlor,NA,"Desserts, Ice Cream",200,Delivery
6096,"1, Nissan House, Palm Grove Main Road, Austin Town, Richmond Road, Bangalore",Deccan Spices,Yes,No,3.7/5,23,080 25545252,Richmond Road,Quick Bites,NA,"Biryani, Mughlai, Fast Food",500,Delivery
6098,"Cambridge Layout, Near Sai Baba Temple, Ulsoor, Bangalore",Ambur Hot Dum Biryani,Yes,No,3.2/5,6,+91 8553813837,Ulsoor,Quick Bites,NA,Biryani,300,Delivery
6099,"18, Bowring Hospital Road, Shivajinagar, Bangalore",Sri Rama,Yes,No,3.2/5,4,NA,Shivajinagar,Quick Bites,NA,South Indian,200,Delivery
6100,"Shop 40, Coles Road, Frazer Town, Bangalore",Pooja Veg,Yes,No,3.1/5,9,NA,Frazer Town,Quick Bites,NA,South Indian,100,Delivery
6101,"39/1, St Mary's Building, Appareddy Palya, 2nd Stage, Indiranagar, Bangalore",Happy Eats,Yes,No,NEW,0,+91 8049595676,Indiranagar,Delivery,NA,"North Indian, Continental",300,Delivery
6102,"Alpine Annexed Apartment, Near ICICI Bank, Shanti Nagar, Bangalore",Promac Foods,Yes,No,NEW,0,"+91 9845013460
+91 9900760572",Shanti Nagar,"Takeaway, Delivery",NA,"North Indian, South Indian",250,Delivery
6103,"60/1, Double Road, Indiranagar, Bangalore",Magic Box,Yes,No,3.3/5,21,"+91 8825407607
+91 9962550381",Indiranagar,"Takeaway, Delivery",NA,"South Indian, North Indian, Chinese",300,Delivery
6106,"407, 5th main, 7 cross",Hungry Birds,Yes,No,3.2/5,6,+91 9886849473,Koramangala 7th Block,Delivery,NA,Chinese,300,Delivery
6109,"Shop 40, Kempegowda Service Road, Domlur Layout, Bangalore",Cravisthan,Yes,No,NEW,0,+91 8722330330,Domlur,Quick Bites,NA,"South Indian, North Indian",500,Delivery
6110,"6/A, Church Street, Bangalore",Funjabi,Yes,No,3.5/5,140,+91 9986185654,Church Street,Casual Dining,"Mango Lassi, Butter Chicken, Manchurian, Dehati Chicken, Paneer Lababdar, Chilli Chicken, Palak Paneer",North Indian,600,NA
6112,"7, Markham Road, Ashok Nagar, Bengaluru",Eatato Snack Bar,Yes,No,3.3/5,11,+91 7676047767,Brigade Road,Casual Dining,NA,"North Indian, Fast Food",400,Delivery
6127,"3rd Floor Garuda Mall Magrath Road, Brigade Road, Bangalore",Keventers,No,No,3.0/5,14,080 45128786,Brigade Road,"Beverage Shop, Dessert Parlor",NA,"Desserts, Beverages, Ice Cream",400,Desserts
6128,"11, Curzen Complex, Brigade Road, Bangalore",Sweet Chariot,Yes,No,3.5/5,9,080 41123566,Brigade Road,Bakery,NA,"Bakery, Fast Food",500,Desserts
6130,"11, Ground Floor, St Patricks Complex, Brigade Road, Bangalore",Baskin Robbins,Yes,No,3.7/5,24,"+91 9986763237
080 41133133",Brigade Road,Dessert Parlor,NA,"Ice Cream, Desserts",250,Desserts
6134,"Markham Road, Ashok Nagar, Brigade Road, Bangalore",Lassi Shop,Yes,No,3.7/5,17,+91 8553491594,Brigade Road,Beverage Shop,NA,"Beverages, Ice Cream",200,Desserts
6135,"5th Avenue Mall, Brigade Road, Bangalore",Snow Gola,No,No,3.7/5,17,"+91 9845997744
+91 9742358113",Brigade Road,Dessert Parlor,NA,Desserts,150,Desserts
6140,"121, Civil Station, Wood Street Junction, Brigade Road, Bangalore",Ibaco,Yes,No,4.0/5,93,"+91 8147956774
+91 8970428418",Brigade Road,Dessert Parlor,Italian Wonder,Desserts,300,NA
6146,"The Chancery Pavilion, 135, Residency Road, Bangalore",Alchemy - The Chancery Pavilion,No,Yes,4.3/5,446,080 45128699,Residency Road,"Microbrewery, Casual Dining","Craft Beer, Stout, Cocktails, Chicken Wings, Brewed Beer, Mysore Pak, Cheesecake",Modern Indian,"2,000",NA
6153,"ITC Gardenia, 1, Ashok Nagar, Residency Road, Bangalore",Fabelle Chocolate Boutique - ITC Gardenia,No,No,4.5/5,232,080 66825270,Richmond Road,Dessert Parlor,"Hot Chocolate, Hazelnut Ice Cream, Tiramisu, Caramel Ganache","Desserts, Ice Cream, Beverages","1,250",Desserts
6155,"174/1-14, Near Bata Showroom, Commercial Street, Bangalore",Bhagatram Sweets,No,No,3.6/5,221,"+91 9980116903
+91 9611184643",Commercial Street,Quick Bites,"Gulab Jamun, Chaat, Jalebi, Chole, Sev Puri, Rasgulla, Masala Poori","Street Food, Mithai",300,Desserts
6165,"Hyatt Centric MG Road Banaglore, 1/1, Swami Vivekananda Road, Ulsoo",The Bengaluru Brasserie - Hyatt Centric MG Road,No,Yes,4.1/5,117,"080 40187200
080 40187220",Ulsoor,Casual Dining,"Cocktails, Burgers, Chicken Chunks, Crispy Chicken","Continental, Asian, North Indian, South Indian","2,000",Desserts
6170,"35/1, Sunnyvale Meance Avenue, Near Ulsoor Lake and Lake Side Hospital, Ulsoor, Bangalore",Amma's Pastries,No,No,4.0/5,97,+91 9590607750,Ulsoor,Dessert Parlor,"Burgers, Cheesecake",Bakery,400,Desserts
6171,"1, Wellington Street, Richmond Road, Bangalore",Koshy's,No,No,3.6/5,52,"080 22211516
080 22292707",Richmond Road,"Bakery, Quick Bites",Plum Cake,"Bakery, Fast Food",300,Desserts
6177,"8, Commercial Street, Bangalore",Anand Sweets and Savouries,No,No,4.0/5,183,080 25588992,Commercial Street,Quick Bites,"Badam Milk, Chaat, Rasmalai, Mysore Pak, Samosa, Paneer Cutlets, Kachori","Mithai, Street Food",400,Desserts
6179,"Bengaluru Baking Company, JW Marriott, Bengaluru, Vittal Mallya Road, Lavelle Road, Bangalore",ROYCE' Chocolate,No,No,3.5/5,19,+91 8884930234,Lavelle Road,Confectionery,NA,Desserts,"1,000",Desserts
6181,"3A, The Touchstone, Main Guard Cross Road, Off Cubbon Road, Tasker Town, Infantry Road, Bangalore",Frozen Bottle,Yes,No,3.7/5,19,+91 8048663331,Infantry Road,Beverage Shop,NA,"Beverages, Desserts, Ice Cream",400,Desserts
6182,"1/2, Hosur Road, Opposite Johnson Market, Richmond Road, Bangalore",Fatima Bakery,No,No,3.7/5,14,080 25510378,Richmond Road,"Bakery, Quick Bites",NA,"Bakery, Fast Food",300,Desserts
6184,"18, Craig Park Layout, Ashok Nagar, MG Road, Bangalore",Bakers 77,No,No,NEW,0,+91 9980196777,MG Road,"Bakery, Quick Bites",NA,"Bakery, Fast Food",400,Desserts
6187,"14/1, Ground Floor, Richmond Crest, Opposite Hockey Stadium, Shanthi Nagar, Shanti Nagar, Bangalore",Just Bake,Yes,No,3.5/5,33,+91 8970010111,Shanti Nagar,"Bakery, Quick Bites",NA,"Bakery, Desserts",400,Desserts
6188,"17/3, Residency Road, Bangalore",Bowring Kulfi,No,No,4.0/5,100,"080 65651812
080 64514089",Residency Road,Dessert Parlor,"Kulfi, Mango Juice, Kesar Pista, Lassi","Ice Cream, Desserts",150,Desserts
6190,"294, Narayana Pillai Street, Commercial Street, Bangalore",Santhanam Sweets & Savouries,No,No,3.9/5,34,080 25541268,Commercial Street,Sweet Shop,NA,"Mithai, Street Food",150,Desserts
6191,"Ground Floor, 1 MG Road, Trinity Circle, MG Road, Bangalore",Smoor,Yes,No,4.1/5,63,"080 22086586
+91 9916795692",MG Road,Dessert Parlor,"Cup Cake, Pasta, Sandwich, Fries",Desserts,900,Desserts
6199,"1, Lal Bagh Main Rd, Srinivas Colony, Sudhama Nagar, Shanti Nagar, Bangalore",Sri Jayalakshmi Bakery,No,No,3.4/5,5,080 22270078,Shanti Nagar,"Bakery, Quick Bites",NA,"Bakery, Beverages",250,Desserts
6201,"36, Quadrant Road, Near Om Shakthi Temple, Shivajinagar, Bangalore",Excelsior Bakery,No,No,3.6/5,15,"+91 9740403940
080 25551899",Shivajinagar,Bakery,NA,Bakery,100,Desserts
6202,"41/1, Ground Floor, St Mark Road Cross, Church Street, Bangalore",Drunken Monkey,Yes,No,4.0/5,122,"091 9538698277
091 9538708177",Church Street,"Beverage Shop, Quick Bites","Sandwiches, Chicken Sandwich, Oreo Shake, Irish Coffee Cream","Beverages, Fast Food",400,Desserts
6203,"1, Old Number 12, Ulsoor Road, Ulsoor, Bangalore",The French Loaf,Yes,No,2.9/5,46,"080 32217203
+91 9663454545",Ulsoor,"Bakery, Quick Bites","Coffee, Veg Puff, Latte","Bakery, Desserts, Sandwich",400,Desserts
6209,"G3-G4, Mezzanine Floor, Cears Plaza, Residency Road, Bangalore",Ooty Chocolates,Yes,No,3.5/5,17,080 41210460,Residency Road,Dessert Parlor,NA,Desserts,300,Desserts
6210,"45, Mission Road, Opp Sbi Bank, Shanti Nagar, Bangalore",Surya Bakery,No,No,3.5/5,21,"080 41248811
+91 9480648812",Shanti Nagar,Bakery,NA,Bakery,200,Desserts
6216,"115, Jewellers Street, Commercial Street, Bangalore",Up Bhavan,No,No,3.4/5,6,"080 25581010
+91 9980196722",Commercial Street,Sweet Shop,NA,"Mithai, Street Food",150,Desserts
6217,"MG Road Metro Station, MG Road, Bangalore",Ice N Spice,No,No,3.7/5,17,"+91 9341144705
+91 9845661512",MG Road,Dessert Parlor,NA,Desserts,200,Desserts
6218,"28, Rajaram Mohan Roy Road, Opposite Kanteerava Stadium, Richmond Road, Bangalore",Mishra Pedha,No,No,3.3/5,4,+91 9945093067,Richmond Road,Sweet Shop,NA,"Mithai, Bakery",300,Desserts
6227,"44/A, K Kamaraj Road, Commercial Street Area, Commercial Street, Bangalore",Delhi Bhavan,No,No,3.4/5,11,080 25512929,Commercial Street,Quick Bites,NA,"Street Food, Mithai",150,Desserts
6228,"442, Jumma Masjid Road, Near Commercial Street, Commercial Street, Bangalore",S R & Sons Bakery,No,No,3.5/5,10,"080 41232969
+91 9980739717",Commercial Street,Dessert Parlor,NA,Bakery,100,Desserts
6231,"Shop 360, Commercial Street, Bangalore",Brea,No,No,3.2/5,7,+91 9448388776,Commercial Street,"Bakery, Quick Bites",NA,Bakery,300,Desserts
6238,"115, Kapoor Building, MG Road, Bangalore",Arya Bhavan Sweets,No,No,3.2/5,6,080 25597251,MG Road,Sweet Shop,NA,"Mithai, Street Food, North Indian",300,Desserts
6242,"A-14, Basement, 132/5, Drvatha Plaza, Residency Road, Bangalore",Sweet Truth,Yes,No,4.1/5,49,+91 7710055553,Residency Road,Delivery,"Cheesecake, Chocolate Decadence, Chocolate Fantasy, Chocolate Cake, Pancakes, Lava Cake, Chocolava Cake","Bakery, Desserts",500,Desserts
6243,"Shop GF-02, Ground Floor, Smart Avenue, 28, Residency Road, Bangalore",The Belgian Waffle Co.,Yes,No,3.7/5,73,+91 9820433755,Residency Road,Dessert Parlor,Waffles,"Desserts, Beverages",350,Desserts
6249,"Wheelers Road, Cleveland Town, Frazer Town, Bangalore",Thom's Bakery,No,No,4.1/5,211,080 25301860,Frazer Town,"Bakery, Quick Bites","Plum Cake, Burgers, Sandwiches, Donut, Mutton Samosa, Sponge Cake, Baked Bread","Bakery, Fast Food",200,Desserts
6258,"Ground Floor, 6/1, Sheshadri Road, Race Course Road, Bangalore",Cafe Coffee Day,No,No,NEW,0,NA,Race Course Road,Cafe,NA,"Cafe, Fast Food",900,Desserts
6263,"20, C/O Pauls Castle, Castle Street, Ashok Nagar",Hae Kum Gang,No,Yes,4.4/5,1187,080 49652616,Brigade Road,Casual Dining,"Sushi, Kimchi, Pork Sizzler, Chicken Donburi, Shrimp Donburi, Crab Roll, Bulgogi","Korean, Chinese, Japanese","1,100",Dine-out
6264,"8, 3rd Floor, Allied Grande Plaza, Diagonally Opposite Garuda Mall, Magrath Road, Brigade Road, Bangalore",Arbor Brewing Company,No,Yes,4.5/5,8375,"+91 8050144477
080 67921222",Brigade Road,"Pub, Microbrewery","Kamikaze, Long Island Iced Tea, Pizza, Hefeweizen, Craft Beer, Cocktails, Belgian Brew Beer","American, Continental, Salad","2,000",NA
6266,"16/3, Commissariat Road, Brigade Road, Bangalore",The Permit Room,No,No,4.5/5,1573,+91 9019113388,Brigade Road,"Casual Dining, Bar","Cocktails, Chicken Curry, Beer, Watermelon Mojito, Bbq Mushroom, Kokum Sharbat, Brain Fry",South Indian,"1,500",NA
6268,"Level 5, Eva Mall, Brigade Road, Bangalore",ShakesBierre,No,Yes,4.4/5,256,080 49653493,Brigade Road,"Microbrewery, Casual Dining","Cocktails, Mocktails, Pizza, Sweet Yogurt, Nachos, Karela Chaat, Burgers","Asian, Continental, European, North Indian","1,500",Dine-out
6270,"35, Castle Street, Off Brigade Road, Brigade Road, Bangalore",Empire Restaurant,Yes,No,4.4/5,2090,080 49653305,Brigade Road,Casual Dining,"Brain Fry, Chicken Manchurian, Mutton Biryani, Butter Chicken, Chicken Tikka Masala, Chilli Chicken, Shaadi Ki Biryani","North Indian, Mughlai, South Indian, Chinese",750,Dine-out
6271,"5th Floor, Garuda Mall, Magrath Road, Ashok Nagar, Brigade Road, Bangalore",The Barn - Bar & Kitchen,No,Yes,4.2/5,240,"+91 9980044552
+91 9880368643",Brigade Road,Pub,"Cocktails, Beer","American, North Indian, Chinese","1,500",Dine-out
6275,"20, Castle Street, Ashok Nagar, Brigade Road, Bangalore",Plan B,No,No,4.2/5,4422,+91 8880022737,Brigade Road,"Casual Dining, Pub","Burgers, Beer, Veg Lasagna, Peri Peri Chicken Wings, Barbecue Wings, Sandwiches, Beef Steak","American, Continental, BBQ, Steak","1,200",Dine-out
6277,"34, Resthouse Road, Brigade Road, Bangalore",Pecos Classic,No,Yes,4.1/5,548,"080 41640022
+91 7259166661",Brigade Road,"Pub, Casual Dining","Fried Rice, Draught Beer, Beef Chilli, Chicken Curry, Fish Fingers, French Fries",Finger Food,"1,100",Dine-out
6278,"48, Resthouse Road, Off Brigade Road, Brigade Road, Bangalore",Guzzlers Inn,No,No,4.0/5,949,"080 25587336
080 41122513",Brigade Road,Pub,"Beer, Manchurian, Kabab Platter, Chips, Lager, Chilli Chicken, Sandwiches","North Indian, Chinese","1,100",Dine-out
6283,"185, Deena Complex, Brigade Road, Bangalore",Pizza Hut,Yes,No,3.9/5,387,080 39883988,Brigade Road,Casual Dining,"Mocktails, Garlic Bread, Potato Wedges, Pasta, Cheesy Pizza, Fries, Paneer Pizza","Pizza, Fast Food",750,Dine-out
6284,"185, Dena Complex, 2nd Floor, Brigade Road, Bangalore",Fusion Lounge,No,No,2.0/5,395,"+91 8892765772
080 41142912",Brigade Road,Lounge,"Dance Floor, Dj",Finger Food,"1,500",Dine-out
6293,"28, 3rd Floor, Sunshine Plaza, Rest House Road, Off Brigade Road",Yak's Kitchen,No,No,4.0/5,162,"080 41157087
+91 8088333969",Brigade Road,Quick Bites,"Noodles, Thukpa, Beef Momos, Chowmein, Veg Momos, Cheese Momos","Chinese, Tibetan, Momos",400,Dine-out
6304,"Brigade Garden, 48, Brigade Road, Bangalore",Flame Pub & Restaurant - Brigade Garden,No,No,2.9/5,24,080 41539856,Brigade Road,"Bar, Casual Dining",NA,"North Indian, South Indian, Continental, Chinese","1,900",Dine-out
6307,"182, Brigade Road, Bangalore",Hotel Shangrila,No,No,3.7/5,125,"080 41121621
080 41121622",Brigade Road,Casual Dining,"Noodles, Pork Chops, Momos, Chicken Noodle, Mixed Fried Rice, Corn Soup, Roast Pork","Chinese, Thai, Momos",600,Dine-out
6314,"13-15, Windsor House, Brigade Road, Bangalore",Cafe Coffee Day,Yes,No,3.0/5,17,"+91 7483258020
080 32486263",Brigade Road,Cafe,NA,"Cafe, Fast Food",900,Dine-out
6317,"19, Magrath Road, 1st Cross, Near Garuda Mall, Brigade Road, Bangalore",The Chevron Brigade,No,No,3.3/5,4,080 25547000,Brigade Road,Casual Dining,NA,"Fast Food, Biryani, Chinese, Seafood","1,200",Dine-out
6323,"51 & 52, Ground Floor, Brigade Road, Bangalore",By Chance,No,Yes,NEW,0,080 49652675,Brigade Road,Casual Dining,NA,"North Indian, Continental, Chinese, Italian","1,100",Dine-out
6326,"Garuda Mall, 4th Floor, Magrath Road, Near Brigade Road, Brigade Road, Bangalore",KFC,Yes,No,3.8/5,191,080 33994444,Brigade Road,Quick Bites,"Burgers, Ginger Chicken, Virgin Mojito, Popcorn, Rice Bowl","Burger, Fast Food",450,Dine-out
6329,"2nd Floor, Indo Dubai Plaza, Rest House Road, Off Brigade Road, Brigade Road, Bangalore",Taste Of Tibet,No,No,4.0/5,336,"080 41478237
+91 9880027746",Brigade Road,Quick Bites,"Thukpa, Vegetable Noodles, Steam Chicken Momos, Chowmein, Chicken Shaptra, Chicken Manchurian, Dumplings","Tibetan, Chinese, Momos",300,Dine-out
6333,"3rd Floor, Garuda Mall, Magrath Road, Ashok Nagar",Subway,No,No,2.7/5,61,"080 66141069
+91 9880435789",Brigade Road,Quick Bites,Sandwich,"Salad, Fast Food",600,Dine-out
6357,"29, Castle Street, Ashok Nagar, Brigade Road, Bangalore",Sri Udupi Grand,No,No,NEW,0,+91 9916087820,Brigade Road,Quick Bites,NA,"South Indian, North Indian, Chinese",200,Dine-out
6358,"Rex Theatre, Brigade Road, Bangalore",Chinese Corner,No,No,3.1/5,5,+91 9740088890,Brigade Road,Quick Bites,NA,Chinese,200,Dine-out
6360,"Food Court, Garuda Mall, Magrath Road, Ashok Nagar, Brigade Road Area, Brigade Road, Bangalore",Burger King,Yes,No,3.5/5,89,091 9620062401,Brigade Road,Food Court,"Burgers, Fries, Chicken Crisp Burger","Burger, Fast Food, Beverages",600,Dine-out
6363,"Barton Centre, 84, MG Road, Bangalore",The 13th Floor,No,Yes,4.4/5,4575,080 41783355,MG Road,Lounge,"Cocktails, Lasagne, Martini, Mocktails, Mutton Pepper, Long Island Iced Tea, Mojito","Asian, North Indian, Thai","1,700",NA
6368,"67 & 68, Brigade Solitaire, Opposite to Advaith Hyundai, Residency Road, Bangalore",Communiti,No,No,4.7/5,3894,"080 40999755
+91 9342158585",Residency Road,"Microbrewery, Casual Dining","Pizza, Cocktails, Peri Peri Chicken, Mocktails, Craft Beer, Pasta, Nachos","Continental, BBQ, Salad","1,500",Dine-out
6370,"Uber Level, 16th Floor, UB City, Vittal Mallya Road, Lavelle Road, Bangalore",Skyye,No,Yes,4.2/5,3116,"080 49090000
+91 7760888899",Lavelle Road,Lounge,"Cocktails, Long Island Iced Tea, Mojito, Peri Peri Chicken, Mocktails, Chicken Satay, Beer",Continental,"2,500",Dine-out
6371,"909 SKAV, 21st floor, Lavelle Road, Bangalore",KazÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚Â‚ÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚Â©,No,Yes,4.4/5,858,080 49652640,Lavelle Road,Fine Dining,"Cocktails, Sushi, Salmon, Martini, Tempura Prawns, Chicken Gyoza, Ramen","Asian, Japanese, Thai","3,000",NA
6378,"1 MG Mall, MG Road, Bangalore",Yauatcha,No,Yes,4.6/5,2339,+91 9222222800,MG Road,Fine Dining,"Dumplings, Noodles, Cocktails, Mocktails, Mango Mascarpone Gateau, Chocolate Hazelnut Mousse, Macaroon","Chinese, Asian, Cantonese, Tea","2,800",NA
6385,"202, Level 2, UB City, Vittal Mallya Road, Lavelle Road, Bangalore",Farzi Cafe,No,No,4.4/5,2392,"+91 7259400900
+91 7259600900",Lavelle Road,"Casual Dining, Microbrewery","Appletini, Lamb Tacos, Cocktails, Martini, Stout, Wheat Beer, Sangria",Modern Indian,"1,500",NA
6388,"40, Opposite LIC Building, Off MG Road, St. Marks Road, Bangalore",Hard Rock Cafe,No,Yes,4.5/5,5262,"+91 8041242222
+91 8105511727",St. Marks Road,"Casual Dining, Bar","Burgers, Cocktails, Legendary Hrc Burger, Nachos, Sandwiches, Bloody Mary, Mocktails","American, BBQ","2,500",NA
6393,"10th Level Prestige Towers, 99/100, Residency Road, Bangalore",Bangalore Brew Works,No,Yes,4.2/5,2212,080 49653436,Residency Road,"Microbrewery, Lounge","Spaghetti, Wheat Beer, Cocktails, Risotto, Nachos, Gourmet Pizza, Draught Beer","Continental, Italian","1,700",Dine-out
6402,"14/1, Wood Street, Ashok Nagar, Richmond Road, Bangalore",Toast & Tonic,No,Yes,4.6/5,1082,"080 41116879
+91 9591506572",Richmond Road,Casual Dining,"Cocktails, Salads, Pork Ribs, Tomato Soup, Burgers, Mushroom Toast, Cheesecake","European, Asian","1,500",Dine-out
6403,"Near LIC Building, Off MG Road, St. Marks Road, Bangalore",The Bar Stock Exchange,No,No,4.3/5,606,"+91 9170391703
+91 7406655507",St. Marks Road,"Pub, Casual Dining","Sangria, Chole, Cocktails, Pizza, Nachos, Noodles, Fish","Continental, Chinese, North Indian, Finger Food","1,300",NA
6411,"Gem Plaza, Infantry Road, Bangalore",Samarkand,No,Yes,4.1/5,2044,080 41113366,Infantry Road,Casual Dining,"Hyderabadi Biryani, Firni, Kulfi, Lassi, Mutton Biryani, Gosht Dum Biryani, Raan","North Indian, Mughlai","1,600",Dine-out
6417,"30, Off MG Road, Opposite State Bank of India, Church Street, Bangalore",Carnatic,No,Yes,4.2/5,167,080 49652709,Church Street,Casual Dining,"Thali, Andhra Chilli Chicken, Coconut Mousse, Raita, Kothu Paratha, Appam, Tender Coconut Payasam","South Indian, Kerala, Andhra, Biryani, Chettinad, Konkan, Mangalorean","1,000",Dine-out
6425,"39, St. Marks Road, Bangalore",Koshy's,No,No,3.9/5,2322,"080 22915840
080 22213793",St. Marks Road,Casual Dining,"Coffee, Kulfi, Beef Steak, Chocolate Shake, Sandwiches, Beer, Omelette","South Indian, North Indian, Chinese, Beverages",700,NA
6427,"204, UB City, Vittal Mallya Road, Near Lavelle Road, Lavelle Road, Bangalore",Sanchez,No,No,4.3/5,1028,"+91 8041755266
+91 9980719333",Lavelle Road,Lounge,"Nachos, Cocktails, Tacos, Prawn Taquitos, Churros, Chimichangas, Enchiladas","Mexican, Tex-Mex","1,500",Dine-out
6428,"1, Express Building, Queens Road, Infantry Road, Bangalore",1Q1,No,Yes,4.3/5,595,080 48050101,Infantry Road,"Casual Dining, Bar","Cocktails, Stir Fried Noodles, Cheesecake, Jasmine Rice, Kung Pao Vegetables, Veg Sushi, Salad","Asian, Japanese, Thai, Malaysian, Vietnamese, Korean, Chinese","2,500",NA
6435,"131, 4th Floor, Devatha Plaza, Residency Road, Bangalore",Harima,No,Yes,4.3/5,666,"080 41325757
080 41510067",Residency Road,Casual Dining,"Sushi, Tuna Sashimi, Salads, Pork Rice, Ramen, Spicy Tuna Roll, Cocktails",Japanese,"2,000",Dine-out
6439,"57/1, 1st Floor, Jayalaxmi Chambers, Next to Old Galaxy Theatre, Residency Road, Bangalore",Meghana Foods,Yes,No,4.3 /5,2177,080 49652534,Residency Road,Casual Dining,"Chicken Boneless Biryani, Mutton Biryani, Hyderabadi Biryani, Andhra Style Biryani, Vegetable Biryani, Fry Prawns, Paneer Biryani","Biryani, Andhra, North Indian, Seafood",600,NA
6444,"65, Residency Road, Bangalore",Sotally Tober,No,Yes,4.4 /5,282,080 45128814,Residency Road,"Bar, Casual Dining","Cocktails, Corn Fritters, Paneer Steak, Butter Chicken, Burgers, Chicken Steak, Chocolate Mousse","Asian, Burger, Chinese, Finger Food","1,200",NA
6453,"Hotel Southern Star, 40/2, Roof Top, Lavelle Road, Bangalore",Tree Tops Bar & Kitchen,No,Yes,4.4 /5,189,080 45128778,Lavelle Road,"Casual Dining, Bar","Peri Peri Chicken Burger, Cocktails, Pasta, Brownie, Mocktails, Chicken Fingers, Jalapeno Poppers","North Indian, Chinese, Continental, Italian","1,000",Dine-out
6461,"No.18, Ramanashree Arcade, Ground Floor, Ashok Nagar Post, MG Road, Bangalore",Chianti,No,Yes,4.5 /5,340,080 43755274,MG Road,Casual Dining,"Pizza, Ravioli, Tiramisu, Panna Cotta, Bruschettas, Seafood Pasta, Virgin Sangria",Italian,"1,500",NA
6470,"1/A, Church Street, Bangalore",Easy Tiger,No,No,4.3 /5,2319,"+91 8553821063
+91 9886033000",Church Street,"Bar, Casual Dining","Burgers, Cocktails, Peri Peri Chicken, Chicken Sandwich, Chilli Chicken, Draught Beer, Fries","Finger Food, Continental","1,100",NA
6473,"2nd Floor, 17/22, Vasavi Complex, St. Marks Road, Bangalore",Capri Gastrobar,No,Yes,4.3/5,284,080 49653576,St. Marks Road,"Bar, Casual Dining","Cocktails, Peri Peri Wings, Brownie, Pizza, Burgers, Mezze Platter, Fries","Mediterranean, Italian, Asian","1,200",NA
6477,"5th Floor, Bangalore Central Mall, MG Road, Bangalore",Salvadores,No,Yes,4.4/5,186,080 49652852,MG Road,Fine Dining,"Wine, Salad, Steak, Coffee, Pork Chops","Mediterranean, Continental, French, Italian","2,000",Dine-out
6479,"2nd Floor, 1 MG Mall, Trinity Circle, MG Road, Bangalore",Bangalore Pub Exchange,No,Yes,4.1/5,209,"+91 9902526032
+91 9113636391",MG Road,"Pub, Casual Dining","Pizza, Fish, Cocktails, Pasta Alfredo, Brownie Chocolate, Biryani, Rumali Roti","Continental, Finger Food, Pizza, North Indian","1,000",Dine-out
6481,"204, 2nd Level, 4th Floor, Comet Block, UB City, Vittal Mallya Road, Lavelle Road, Bangalore",Sriracha,No,No,4.3/5,687,"+91 8041755366
+91 7022422473",Lavelle Road,Casual Dining,"Noodles, Laksa, Cocktails, Dumplings, Sangria, Momos, Sushi","Thai, Chinese, Indonesian, Asian, Momos","1,500",NA
6483,"29, Church Street, Bangalore",Russh Gastropub,No,No,4.2/5,1279,080 30695514,Church Street,Pub,"Cocktails, Bruschettas, Beer, Tiramisu, Brownie, Chicken Popcorn, Nachos","Continental, Italian, Burger","1,100",Dine-out
